category_id,title,parent_1,parent_2,parent_3
3dprinting,3D Printing,localservices,,
abruzzese,Abruzzese,italian,,
absinthebars,Absinthe Bars,bars,,
acaibowls,Acai Bowls,food,,
accessories,Accessories,fashion,,
accountants,Accountants,professional,,
acnetreatment,Acne Treatment,beautysvc,,
active,Active Life,,,
acupuncture,Acupuncture,health,,
addictionmedicine,Addiction Medicine,physicians,,
adoptionservices,Adoption Services,localservices,,
adult,Adult,shopping,,
adultedu,Adult Education,education,,
adultentertainment,Adult Entertainment,nightlife,,
advertising,Advertising,professional,,
aerialfitness,Aerial Fitness,fitness,,
aerialtours,Aerial Tours,tours,,
aestheticians,Aestheticians,medicalspa,,
afghani,Afghan,restaurants,,
african,African,restaurants,,
afrobrazilian,Afro-Brazilian,religiousorgs,,
agriturismi,Agriturismi,hotels,,
aircraftdealers,Aircraft Dealers,auto,,
aircraftrepairs,Aircraft Repairs,auto,,
airductcleaning,Air Duct Cleaning,localservices,,
airlines,Airlines,transport,,
airport_shuttles,Airport Shuttles,transport,,
airportlounges,Airport Lounges,bars,,
airports,Airports,hotelstravel,,
airportterminals,Airport Terminals,airports,,
airsoft,Airsoft,active,,
alentejo,Alentejo,portuguese,,
algarve,Algarve,portuguese,,
allergist,Allergists,physicians,,
alsatian,Alsatian,french,,
alternativemedicine,Alternative Medicine,health,,
altoatesine,Altoatesine,italian,,
amateursportsteams,Amateur Sports Teams,active,,
amusementparks,Amusement Parks,active,,
andalusian,Andalusian,restaurants,,
anesthesiologists,Anesthesiologists,physicians,,
animalassistedtherapy,Animal Assisted Therapy,health,,
animalholistic,Holistic Animal Care,petservices,,
animalphysicaltherapy,Animal Physical Therapy,petservices,,
animalshelters,Animal Shelters,pets,,
antiques,Antiques,shopping,,
apartmentagents,Apartment Agents,realestateagents,,
apartments,Apartments,realestate,,
appliances,Appliances,homeandgarden,,
appraisalservices,Appraisal Services,localservices,,
apulian,Apulian,italian,,
aquariums,Aquariums,active,,
aquariumservices,Aquarium Services,petservices,,
arabian,Arabian,restaurants,,
arabpizza,Arab Pizza,arabian,,
arcades,Arcades,arts,,
archery,Archery,active,,
architects,Architects,professional,,
architecturaltours,Architectural Tours,tours,,
argentine,Argentine,restaurants,,
armenian,Armenian,restaurants,,
arroceria_paella,Arroceria / Paella,spanish,,
artclasses,Art Classes,education,,
artconsultants,Art Consultants,professional,,
artificialturf,Artificial Turf,homeservices,,
artinstallation,Art Installation,localservices,,
artmuseums,Art Museums,museums,,
artrestoration,Art Restoration,localservices,,
arts,Arts & Entertainment,,,
artsandcrafts,Arts & Crafts,shopping,,
artschools,Art Schools,specialtyschools,,
artspacerentals,Art Space Rentals,realestate,,
artsupplies,Art Supplies,artsandcrafts,,
arttours,Art Tours,tours,,
asianfusion,Asian Fusion,restaurants,,
assistedliving,Assisted Living Facilities,health,,
astrologers,Astrologers,psychic_astrology,,
asturian,Asturian,restaurants,,
ateliers,Ateliers,artsandcrafts,,
attractionfarms,Attraction Farms,farms,,
atvrentals,ATV Rentals/Tours,active,,
auctionhouses,Auction Houses,shopping,,
audiologist,Audiologist,physicians,,
audiovisualequipmentrental,Audio/Visual Equipment Rental,partyequipmentrentals,,
australian,Australian,restaurants,,
austrian,Austrian,restaurants,,
authorized_postal_representative,Authorized Postal Representative,publicservicesgovt,,
auto,Automotive,,,
auto_detailing,Auto Detailing,auto,,
autocustomization,Auto Customization,auto,,
autodamageassessment,Car Inspectors,auto,,
autoelectric,Auto Electric Services,auto,,
autoglass,Auto Glass Services,auto,,
autoinsurance,Auto Insurance,insurance,,
autoloanproviders,Auto Loan Providers,auto,,
autopartssupplies,Auto Parts & Supplies,auto,,
autorepair,Auto Repair,auto,,
autosecurity,Auto Security,auto,,
autoupholstery,Auto Upholstery,auto,,
auvergnat,Auvergnat,french,,
aviationservices,Aviation Services,auto,,
awnings,Awnings,localservices,,
axethrowing,Axe Throwing,active,,
ayurveda,Ayurveda,health,,
azores,Azores,portuguese,,
baby_gear,Baby Gear & Furniture,shopping,,
backflowservices,Backflow Services,plumbing,,
backshop,Backshop,food,,
baden,Baden,german,,
badminton,Badminton,active,,
bagels,Bagels,food,,
baguettes,Baguettes,restaurants,,
bailbondsmen,Bail Bondsmen,localservices,,
bakeries,Bakeries,food,,
